,National №,Type,Species,Height in m,Height in pouce,Weight in kg,Weight in lbs,Abilities,Local №,EV yield,Catch rate,Catch rate details,Base Friendship,Base Friendship text,Base Exp.,Growth Rate,Egg Groups,Gender % male,Gender % female,Egg cycles,Egg cycles details,HP,HP Min,HP Max,Attack,Attack Min,Attack Max,Defense,Defense Min,Defense Max,Sp. Atk,Sp. Atk Min,Sp. Atk Max,Sp. Def,Sp. Def Min,Sp. Def Max,Speed,Speed Min,Speed Max,Name,img_url,Generation
40,041,Poison Flying,Bat,0.8,2.07,7.5,16.5,1. Inner FocusInfiltrator (hidden ability),041 (Yellow/Red/Blue)037 (Gold/Silver/Crystal)063 (Ruby/Sapphire/Emerald)041 (FireRed/LeafGreen)028 (Diamond/Pearl)028 (Platinum)037 (HeartGold/SoulSilver)061 (Black 2/White 2)145 (X/Y — Central Kalos)065 (Omega Ruby/Alpha Sapphire)068 (Sun/Moon — Alola dex)080 (U.Sun/U.Moon — Alola dex)041 (Let's Go Pikachu/Let's Go Eevee)028 (Brilliant Diamond/Shining Pearl)034 (Legends: Arceus)144 (The Crown Tundra),1 Speed,255,"33.3% with PokéBall, full HP",50,normal,49,Medium Fast,Flying,50,50,15,"3,599–3,855 steps",40,190,284,45,85,207,35,67,185,30,58,174,40,76,196,55,103,229,Zubat,https://img.pokemondb.net/artwork/zubat.jpg,
41,042,Poison Flying,Bat,1.6,5.03,55.0,121.3,1. Inner FocusInfiltrator (hidden ability),042 (Yellow/Red/Blue)038 (Gold/Silver/Crystal)064 (Ruby/Sapphire/Emerald)042 (FireRed/LeafGreen)029 (Diamond/Pearl)029 (Platinum)038 (HeartGold/SoulSilver)062 (Black 2/White 2)146 (X/Y — Central Kalos)066 (Omega Ruby/Alpha Sapphire)069 (Sun/Moon — Alola dex)081 (U.Sun/U.Moon — Alola dex)042 (Let's Go Pikachu/Let's Go Eevee)029 (Brilliant Diamond/Shining Pearl)035 (Legends: Arceus)145 (The Crown Tundra),2 Speed,90,"11.8% with PokéBall, full HP",50,normal,159,Medium Fast,Flying,50,50,15,"3,599–3,855 steps",75,260,354,80,148,284,70,130,262,65,121,251,75,139,273,90,166,306,Golbat,https://img.pokemondb.net/artwork/golbat.jpg,
42,043,Grass Poison,Weed,0.5,1.08,5.4,11.9,1. ChlorophyllRun Away (hidden ability),043 (Red/Blue/Yellow)083 (Gold/Silver/Crystal)088 (Ruby/Sapphire/Emerald)043 (FireRed/LeafGreen)083 (HeartGold/SoulSilver)105 (X/Y — Central Kalos)091 (Omega Ruby/Alpha Sapphire)043 (Let's Go Pikachu/Let's Go Eevee)055 (Sword/Shield),1 Special Attack,255,"33.3% with PokéBall, full HP",50,normal,64,Medium Slow,Grass,50,50,20,"4,884–5,140 steps",45,200,294,50,94,218,55,103,229,75,139,273,65,121,251,30,58,174,Oddish,https://img.pokemondb.net/artwork/oddish.jpg,
43,044,Grass Poison,Weed,0.8,2.07,8.6,19.0,1. ChlorophyllStench (hidden ability),044 (Red/Blue/Yellow)084 (Gold/Silver/Crystal)089 (Ruby/Sapphire/Emerald)044 (FireRed/LeafGreen)084 (HeartGold/SoulSilver)106 (X/Y — Central Kalos)092 (Omega Ruby/Alpha Sapphire)044 (Let's Go Pikachu/Let's Go Eevee)056 (Sword/Shield),2 Special Attack,120,"15.7% with PokéBall, full HP",50,normal,138,Medium Slow,Grass,50,50,20,"4,884–5,140 steps",60,230,324,65,121,251,70,130,262,85,157,295,75,139,273,40,76,196,Gloom,https://img.pokemondb.net/artwork/gloom.jpg,
44,045,Grass Poison,Flower,1.2,3.11,18.6,41.0,1. ChlorophyllEffect Spore (hidden ability),045 (Red/Blue/Yellow)085 (Gold/Silver/Crystal)090 (Ruby/Sapphire/Emerald)045 (FireRed/LeafGreen)085 (HeartGold/SoulSilver)107 (X/Y — Central Kalos)093 (Omega Ruby/Alpha Sapphire)045 (Let's Go Pikachu/Let's Go Eevee)057 (Sword/Shield),3 Special Attack,45,"5.9% with PokéBall, full HP",50,normal,221,Medium Slow,Grass,50,50,20,"4,884–5,140 steps",75,260,354,80,148,284,85,157,295,110,202,350,90,166,306,50,94,218,Vileplume,https://img.pokemondb.net/artwork/vileplume.jpg,
45,046,Bug Grass,Mushroom,0.3,1.00,5.4,11.9,1. Effect Spore2. Dry SkinDamp (hidden ability),046 (Red/Blue/Yellow)070 (Gold/Silver/Crystal)046 (FireRed/LeafGreen)070 (HeartGold/SoulSilver)147 (Sun/Moon — Alola dex)180 (U.Sun/U.Moon — Alola dex)046 (Let's Go Pikachu/Let's Go Eevee)053 (Legends: Arceus),1 Attack,190,"24.8% with PokéBall, full HP",50,normal,57,Medium Fast,"Bug, Grass",50,50,20,"4,884–5,140 steps",35,180,274,70,130,262,55,103,229,45,85,207,55,103,229,25,49,163,Paras,https://img.pokemondb.net/artwork/paras.jpg,
46,047,Bug Grass,Mushroom,1.0,3.03,29.5,65.0,1. Effect Spore2. Dry SkinDamp (hidden ability),047 (Red/Blue/Yellow)071 (Gold/Silver/Crystal)047 (FireRed/LeafGreen)071 (HeartGold/SoulSilver)148 (Sun/Moon — Alola dex)181 (U.Sun/U.Moon — Alola dex)047 (Let's Go Pikachu/Let's Go Eevee)054 (Legends: Arceus),"2 Attack, 1 Defense",75,"9.8% with PokéBall, full HP",50,normal,142,Medium Fast,"Bug, Grass",50,50,20,"4,884–5,140 steps",60,230,324,95,175,317,80,148,284,60,112,240,80,148,284,30,58,174,Parasect,https://img.pokemondb.net/artwork/parasect.jpg,
47,048,Bug Poison,Insect,1.0,3.03,30.0,66.1,1. Compound Eyes2. Tinted LensRun Away (hidden ability),048 (Red/Blue/Yellow)108 (Gold/Silver/Crystal)048 (FireRed/LeafGreen)109 (HeartGold/SoulSilver)048 (Let's Go Pikachu/Let's Go Eevee),1 Special Defense,190,"24.8% with PokéBall, full HP",50,normal,61,Medium Fast,Bug,50,50,20,"4,884–5,140 steps",60,230,324,55,103,229,50,94,218,40,76,196,55,103,229,45,85,207,Venonat,https://img.pokemondb.net/artwork/venonat.jpg,
48,049,Bug Poison,Poison Moth,1.5,4.11,12.5,27.6,1. Shield Dust2. Tinted LensWonder Skin (hidden ability),049 (Red/Blue/Yellow)109 (Gold/Silver/Crystal)049 (FireRed/LeafGreen)110 (HeartGold/SoulSilver)049 (Let's Go Pikachu/Let's Go Eevee),"1 Special Attack, 1 Speed",75,"9.8% with PokéBall, full HP",50,normal,158,Medium Fast,Bug,50,50,20,"4,884–5,140 steps",70,250,344,65,121,251,60,112,240,90,166,306,75,139,273,90,166,306,Venomoth,https://img.pokemondb.net/artwork/venomoth.jpg,
49,050,Ground,Mole,0.2,0.08,0.8,1.8,1. Sand Veil2. Arena TrapSand Force (hidden ability),050 (Red/Blue/Yellow)132 (Gold/Silver/Crystal)050 (FireRed/LeafGreen)134 (HeartGold/SoulSilver)001 (X/Y — Mountain Kalos)071 (Sun/Moon — Alola dex)085 (U.Sun/U.Moon — Alola dex)050 (Let's Go Pikachu/Let's Go Eevee)164 (Sword/Shield),1 Speed,255,"33.3% with PokéBall, full HP",50,normal,53,Medium Fast,Field,50,50,20,"4,884–5,140 steps",10,130,224,55,103,229,25,49,163,35,67,185,45,85,207,95,175,317,Diglett,https://img.pokemondb.net/artwork/diglett.jpg,
50,051,Ground,Mole,0.7,2.04,33.3,73.4,1. Sand Veil2. Arena TrapSand Force (hidden ability),051 (Red/Blue/Yellow)133 (Gold/Silver/Crystal)051 (FireRed/LeafGreen)135 (HeartGold/SoulSilver)002 (X/Y — Mountain Kalos)072 (Sun/Moon — Alola dex)086 (U.Sun/U.Moon — Alola dex)051 (Let's Go Pikachu/Let's Go Eevee)165 (Sword/Shield),2 Speed,50,"6.5% with PokéBall, full HP",50,normal,149,Medium Fast,Field,50,50,20,"4,884–5,140 steps",35,180,274,100,184,328,50,94,218,50,94,218,70,130,262,120,220,372,Dugtrio,https://img.pokemondb.net/artwork/dugtrio.jpg,
51,052,Normal,Scratch Cat,0.4,1.04,4.2,9.3,1. Pickup2. TechnicianUnnerve (hidden ability),052 (Red/Blue/Yellow)136 (Gold/Silver/Crystal)052 (FireRed/LeafGreen)138 (HeartGold/SoulSilver)045 (Sun/Moon — Alola dex)052 (U.Sun/U.Moon — Alola dex)052 (Let's Go Pikachu/Let's Go Eevee)182 (Sword/Shield),1 Speed,255,"33.3% with PokéBall, full HP",50,normal,58,Medium Fast,Field,50,50,20,"4,884–5,140 steps",40,190,284,45,85,207,35,67,185,40,76,196,40,76,196,90,166,306,Meowth,https://img.pokemondb.net/artwork/meowth.jpg,
52,053,Normal,Classy Cat,1.0,3.03,32.0,70.5,1. Limber2. TechnicianUnnerve (hidden ability),053 (Red/Blue/Yellow)137 (Gold/Silver/Crystal)053 (FireRed/LeafGreen)139 (HeartGold/SoulSilver)046 (Sun/Moon — Alola dex)053 (U.Sun/U.Moon — Alola dex)053 (Let's Go Pikachu/Let's Go Eevee)184 (Sword/Shield),2 Speed,90,"11.8% with PokéBall, full HP",50,normal,154,Medium Fast,Field,50,50,20,"4,884–5,140 steps",65,240,334,70,130,262,60,112,240,65,121,251,65,121,251,115,211,361,Persian,https://img.pokemondb.net/artwork/persian.jpg,
53,054,Water,Duck,0.8,2.07,19.6,43.2,1. Damp2. Cloud NineSwift Swim (hidden ability),054 (Yellow/Red/Blue)138 (Gold/Silver/Crystal)158 (Ruby/Sapphire/Emerald)054 (FireRed/LeafGreen)043 (Diamond/Pearl)043 (Platinum)140 (HeartGold/SoulSilver)028 (Black 2/White 2)059 (X/Y — Central Kalos)165 (Omega Ruby/Alpha Sapphire)089 (Sun/Moon — Alola dex)107 (U.Sun/U.Moon — Alola dex)054 (Let's Go Pikachu/Let's Go Eevee)043 (Brilliant Diamond/Shining Pearl)068 (Legends: Arceus)146 (The Isle of Armor),1 Special Attack,190,"24.8% with PokéBall, full HP",50,normal,64,Medium Fast,"Field, Water 1",50,50,20,"4,884–5,140 steps",50,210,304,52,98,223,48,90,214,65,121,251,50,94,218,55,103,229,Psyduck,https://img.pokemondb.net/artwork/psyduck.jpg,
54,055,Water,Duck,1.7,5.07,76.6,168.9,1. Damp2. Cloud NineSwift Swim (hidden ability),055 (Yellow/Red/Blue)139 (Gold/Silver/Crystal)159 (Ruby/Sapphire/Emerald)055 (FireRed/LeafGreen)044 (Diamond/Pearl)044 (Platinum)141 (HeartGold/SoulSilver)029 (Black 2/White 2)060 (X/Y — Central Kalos)166 (Omega Ruby/Alpha Sapphire)090 (Sun/Moon — Alola dex)108 (U.Sun/U.Moon — Alola dex)055 (Let's Go Pikachu/Let's Go Eevee)044 (Brilliant Diamond/Shining Pearl)069 (Legends: Arceus)147 (The Isle of Armor),2 Special Attack,75,"9.8% with PokéBall, full HP",50,normal,175,Medium Fast,"Field, Water 1",50,50,20,"4,884–5,140 steps",80,270,364,82,152,289,78,144,280,95,175,317,80,148,284,85,157,295,Golduck,https://img.pokemondb.net/artwork/golduck.jpg,
55,056,Fighting,Pig Monkey,0.5,1.08,28.0,61.7,1. Vital Spirit2. Anger PointDefiant (hidden ability),056 (Red/Blue/Yellow)134 (Gold/Silver/Crystal)056 (FireRed/LeafGreen)136 (HeartGold/SoulSilver)079 (Sun/Moon — Alola dex)093 (U.Sun/U.Moon — Alola dex)056 (Let's Go Pikachu/Let's Go Eevee),1 Attack,190,"24.8% with PokéBall, full HP",50,normal,61,Medium Fast,Field,50,50,20,"4,884–5,140 steps",40,190,284,80,148,284,35,67,185,35,67,185,45,85,207,70,130,262,Mankey,https://img.pokemondb.net/artwork/mankey.jpg,
56,057,Fighting,Pig Monkey,1.0,3.03,32.0,70.5,1. Vital Spirit2. Anger PointDefiant (hidden ability),057 (Red/Blue/Yellow)135 (Gold/Silver/Crystal)057 (FireRed/LeafGreen)137 (HeartGold/SoulSilver)080 (Sun/Moon — Alola dex)094 (U.Sun/U.Moon — Alola dex)057 (Let's Go Pikachu/Let's Go Eevee),2 Attack,75,"9.8% with PokéBall, full HP",50,normal,159,Medium Fast,Field,50,50,20,"4,884–5,140 steps",65,240,334,105,193,339,60,112,240,60,112,240,70,130,262,95,175,317,Primeape,https://img.pokemondb.net/artwork/primeape.jpg,
57,058,Fire,Puppy,0.7,2.04,19.0,41.9,1. Intimidate2. Flash FireJustified (hidden ability),058 (Red/Blue/Yellow)127 (Gold/Silver/Crystal)058 (FireRed/LeafGreen)129 (HeartGold/SoulSilver)051 (Black 2/White 2)052 (Sun/Moon — Alola dex)064 (U.Sun/U.Moon — Alola dex)058 (Let's Go Pikachu/Let's Go Eevee)070 (Sword/Shield)150 (Legends: Arceus),1 Attack,190,"24.8% with PokéBall, full HP",50,normal,70,Slow,Field,75,25,20,"4,884–5,140 steps",55,220,314,70,130,262,45,85,207,70,130,262,50,94,218,60,112,240,Growlithe,https://img.pokemondb.net/artwork/growlithe.jpg,
58,059,Fire,Legendary,1.9,6.03,155.0,341.7,1. Intimidate2. Flash FireJustified (hidden ability),059 (Red/Blue/Yellow)128 (Gold/Silver/Crystal)059 (FireRed/LeafGreen)130 (HeartGold/SoulSilver)052 (Black 2/White 2)053 (Sun/Moon — Alola dex)065 (U.Sun/U.Moon — Alola dex)059 (Let's Go Pikachu/Let's Go Eevee)071 (Sword/Shield)151 (Legends: Arceus),2 Attack,75,"9.8% with PokéBall, full HP",50,normal,194,Slow,Field,75,25,20,"4,884–5,140 steps",90,290,384,110,202,350,80,148,284,100,184,328,80,148,284,95,175,317,Arcanine,https://img.pokemondb.net/artwork/arcanine.jpg,
59,060,Water,Tadpole,0.6,2.00,12.4,27.3,1. Water Absorb2. DampSwift Swim (hidden ability),060 (Red/Blue/Yellow)072 (Gold/Silver/Crystal)060 (FireRed/LeafGreen)072 (HeartGold/SoulSilver)033 (X/Y — Mountain Kalos)149 (Sun/Moon — Alola dex)182 (U.Sun/U.Moon — Alola dex)060 (Let's Go Pikachu/Let's Go Eevee)142 (The Isle of Armor),1 Speed,255,"33.3% with PokéBall, full HP",50,normal,60,Medium Slow,Water 1,50,50,20,"4,884–5,140 steps",40,190,284,50,94,218,40,76,196,40,76,196,40,76,196,90,166,306,Poliwag,https://img.pokemondb.net/artwork/poliwag.jpg,
60,061,Water,Tadpole,1.0,3.03,20.0,44.1,1. Water Absorb2. DampSwift Swim (hidden ability),061 (Red/Blue/Yellow)073 (Gold/Silver/Crystal)061 (FireRed/LeafGreen)073 (HeartGold/SoulSilver)034 (X/Y — Mountain Kalos)150 (Sun/Moon — Alola dex)183 (U.Sun/U.Moon — Alola dex)061 (Let's Go Pikachu/Let's Go Eevee)143 (The Isle of Armor),2 Speed,120,"15.7% with PokéBall, full HP",50,normal,135,Medium Slow,Water 1,50,50,20,"4,884–5,140 steps",65,240,334,65,121,251,65,121,251,50,94,218,50,94,218,90,166,306,Poliwhirl,https://img.pokemondb.net/artwork/poliwhirl.jpg,
61,062,Water Fighting,Tadpole,1.3,4.03,54.0,119.0,1. Water Absorb2. DampSwift Swim (hidden ability),062 (Red/Blue/Yellow)074 (Gold/Silver/Crystal)062 (FireRed/LeafGreen)074 (HeartGold/SoulSilver)035 (X/Y — Mountain Kalos)151 (Sun/Moon — Alola dex)184 (U.Sun/U.Moon — Alola dex)062 (Let's Go Pikachu/Let's Go Eevee)144 (The Isle of Armor),3 Defense,45,"5.9% with PokéBall, full HP",50,normal,230,Medium Slow,Water 1,50,50,20,"4,884–5,140 steps",90,290,384,95,175,317,95,175,317,70,130,262,90,166,306,70,130,262,Poliwrath,https://img.pokemondb.net/artwork/poliwrath.jpg,
62,063,Psychic,Psi,0.9,2.11,19.5,43.0,1. Synchronize2. Inner FocusMagic Guard (hidden ability),063 (Yellow/Red/Blue)089 (Gold/Silver/Crystal)039 (Ruby/Sapphire/Emerald)063 (FireRed/LeafGreen)020 (Diamond/Pearl)020 (Platinum)089 (HeartGold/SoulSilver)102 (X/Y — Central Kalos)040 (Omega Ruby/Alpha Sapphire)042 (Sun/Moon — Alola dex)049 (U.Sun/U.Moon — Alola dex)063 (Let's Go Pikachu/Let's Go Eevee)020 (Brilliant Diamond/Shining Pearl)058 (Legends: Arceus)031 (The Isle of Armor),1 Special Attack,200,"26.1% with PokéBall, full HP",50,normal,62,Medium Slow,Human-Like,75,25,20,"4,884–5,140 steps",25,160,254,20,40,152,15,31,141,105,193,339,55,103,229,90,166,306,Abra,https://img.pokemondb.net/artwork/abra.jpg,
63,064,Psychic,Psi,1.3,4.03,56.5,124.6,1. Synchronize2. Inner FocusMagic Guard (hidden ability),064 (Yellow/Red/Blue)090 (Gold/Silver/Crystal)040 (Ruby/Sapphire/Emerald)064 (FireRed/LeafGreen)021 (Diamond/Pearl)021 (Platinum)090 (HeartGold/SoulSilver)103 (X/Y — Central Kalos)041 (Omega Ruby/Alpha Sapphire)043 (Sun/Moon — Alola dex)050 (U.Sun/U.Moon — Alola dex)064 (Let's Go Pikachu/Let's Go Eevee)021 (Brilliant Diamond/Shining Pearl)059 (Legends: Arceus)032 (The Isle of Armor),2 Special Attack,100,"13.1% with PokéBall, full HP",50,normal,140,Medium Slow,Human-Like,75,25,20,"4,884–5,140 steps",40,190,284,35,67,185,30,58,174,120,220,372,70,130,262,105,193,339,Kadabra,https://img.pokemondb.net/artwork/kadabra.jpg,
64,065,Psychic,Psi,1.5,4.11,48.0,105.8,1. Synchronize2. Inner FocusMagic Guard (hidden ability),065 (Yellow/Red/Blue)091 (Gold/Silver/Crystal)041 (Ruby/Sapphire/Emerald)065 (FireRed/LeafGreen)022 (Diamond/Pearl)022 (Platinum)091 (HeartGold/SoulSilver)104 (X/Y — Central Kalos)042 (Omega Ruby/Alpha Sapphire)044 (Sun/Moon — Alola dex)051 (U.Sun/U.Moon — Alola dex)065 (Let's Go Pikachu/Let's Go Eevee)022 (Brilliant Diamond/Shining Pearl)060 (Legends: Arceus)033 (The Isle of Armor),3 Special Attack,50,"6.5% with PokéBall, full HP",50,normal,225,Medium Slow,Human-Like,75,25,20,"4,884–5,140 steps",55,220,314,50,94,218,45,85,207,135,247,405,95,175,317,120,220,372,Alakazam,https://img.pokemondb.net/artwork/alakazam.jpg,
65,066,Fighting,Superpower,0.8,2.07,19.5,43.0,1. Guts2. No GuardSteadfast (hidden ability),066 (Yellow/Red/Blue)140 (Gold/Silver/Crystal)073 (Ruby/Sapphire/Emerald)066 (FireRed/LeafGreen)040 (Diamond/Pearl)040 (Platinum)142 (HeartGold/SoulSilver)057 (X/Y — Coastal Kalos)075 (Omega Ruby/Alpha Sapphire)095 (Sun/Moon — Alola dex)117 (U.Sun/U.Moon — Alola dex)066 (Let's Go Pikachu/Let's Go Eevee)138 (Sword/Shield)040 (Brilliant Diamond/Shining Pearl)154 (Legends: Arceus),1 Attack,180,"23.5% with PokéBall, full HP",50,normal,61,Medium Slow,Human-Like,75,25,20,"4,884–5,140 steps",70,250,344,80,148,284,50,94,218,35,67,185,35,67,185,35,67,185,Machop,https://img.pokemondb.net/artwork/machop.jpg,
66,067,Fighting,Superpower,1.5,4.11,70.5,155.4,1. Guts2. No GuardSteadfast (hidden ability),067 (Yellow/Red/Blue)141 (Gold/Silver/Crystal)074 (Ruby/Sapphire/Emerald)067 (FireRed/LeafGreen)041 (Diamond/Pearl)041 (Platinum)143 (HeartGold/SoulSilver)058 (X/Y — Coastal Kalos)076 (Omega Ruby/Alpha Sapphire)096 (Sun/Moon — Alola dex)118 (U.Sun/U.Moon — Alola dex)067 (Let's Go Pikachu/Let's Go Eevee)139 (Sword/Shield)041 (Brilliant Diamond/Shining Pearl)155 (Legends: Arceus),2 Attack,90,"11.8% with PokéBall, full HP",50,normal,142,Medium Slow,Human-Like,75,25,20,"4,884–5,140 steps",80,270,364,100,184,328,70,130,262,50,94,218,60,112,240,45,85,207,Machoke,https://img.pokemondb.net/artwork/machoke.jpg,
67,068,Fighting,Superpower,1.6,5.03,130.0,286.6,1. Guts2. No GuardSteadfast (hidden ability),068 (Yellow/Red/Blue)142 (Gold/Silver/Crystal)075 (Ruby/Sapphire/Emerald)068 (FireRed/LeafGreen)042 (Diamond/Pearl)042 (Platinum)144 (HeartGold/SoulSilver)059 (X/Y — Coastal Kalos)077 (Omega Ruby/Alpha Sapphire)097 (Sun/Moon — Alola dex)119 (U.Sun/U.Moon — Alola dex)068 (Let's Go Pikachu/Let's Go Eevee)140 (Sword/Shield)042 (Brilliant Diamond/Shining Pearl)156 (Legends: Arceus),3 Attack,45,"5.9% with PokéBall, full HP",50,normal,227,Medium Slow,Human-Like,75,25,20,"4,884–5,140 steps",90,290,384,130,238,394,80,148,284,65,121,251,85,157,295,55,103,229,Machamp,https://img.pokemondb.net/artwork/machamp.jpg,
68,069,Grass Poison,Flower,0.7,2.04,4.0,8.8,1. ChlorophyllGluttony (hidden ability),069 (Red/Blue/Yellow)064 (Gold/Silver/Crystal)069 (FireRed/LeafGreen)064 (HeartGold/SoulSilver)026 (X/Y — Mountain Kalos)069 (Let's Go Pikachu/Let's Go Eevee),1 Attack,255,"33.3% with PokéBall, full HP",50,normal,60,Medium Slow,Grass,50,50,20,"4,884–5,140 steps",50,210,304,75,139,273,35,67,185,70,130,262,30,58,174,40,76,196,Bellsprout,https://img.pokemondb.net/artwork/bellsprout.jpg,
69,070,Grass Poison,Flycatcher,1.0,3.03,6.4,14.1,1. ChlorophyllGluttony (hidden ability),070 (Red/Blue/Yellow)065 (Gold/Silver/Crystal)070 (FireRed/LeafGreen)065 (HeartGold/SoulSilver)027 (X/Y — Mountain Kalos)070 (Let's Go Pikachu/Let's Go Eevee),2 Attack,120,"15.7% with PokéBall, full HP",50,normal,137,Medium Slow,Grass,50,50,20,"4,884–5,140 steps",65,240,334,90,166,306,50,94,218,85,157,295,45,85,207,55,103,229,Weepinbell,https://img.pokemondb.net/artwork/weepinbell.jpg,
70,071,Grass Poison,Flycatcher,1.7,5.07,15.5,34.2,1. ChlorophyllGluttony (hidden ability),071 (Red/Blue/Yellow)066 (Gold/Silver/Crystal)071 (FireRed/LeafGreen)066 (HeartGold/SoulSilver)028 (X/Y — Mountain Kalos)071 (Let's Go Pikachu/Let's Go Eevee),3 Attack,45,"5.9% with PokéBall, full HP",50,normal,221,Medium Slow,Grass,50,50,20,"4,884–5,140 steps",80,270,364,105,193,339,65,121,251,100,184,328,70,130,262,70,130,262,Victreebel,https://img.pokemondb.net/artwork/victreebel.jpg,
71,072,Water Poison,Jellyfish,0.9,2.11,45.5,100.3,1. Clear Body2. Liquid OozeRain Dish (hidden ability),072 (Yellow/Red/Blue)162 (Gold/Silver/Crystal)066 (Ruby/Sapphire/Emerald)072 (FireRed/LeafGreen)136 (Diamond/Pearl)136 (Platinum)164 (HeartGold/SoulSilver)025 (X/Y — Coastal Kalos)068 (Omega Ruby/Alpha Sapphire)106 (Sun/Moon — Alola dex)129 (U.Sun/U.Moon — Alola dex)072 (Let's Go Pikachu/Let's Go Eevee)136 (Brilliant Diamond/Shining Pearl)170 (Legends: Arceus)040 (The Isle of Armor),1 Special Defense,190,"24.8% with PokéBall, full HP",50,normal,67,Slow,Water 3,50,50,20,"4,884–5,140 steps",40,190,284,40,76,196,35,67,185,50,94,218,100,184,328,70,130,262,Tentacool,https://img.pokemondb.net/artwork/tentacool.jpg,
72,073,Water Poison,Jellyfish,1.6,5.03,55.0,121.3,1. Clear Body2. Liquid OozeRain Dish (hidden ability),073 (Yellow/Red/Blue)163 (Gold/Silver/Crystal)067 (Ruby/Sapphire/Emerald)073 (FireRed/LeafGreen)137 (Diamond/Pearl)137 (Platinum)165 (HeartGold/SoulSilver)026 (X/Y — Coastal Kalos)069 (Omega Ruby/Alpha Sapphire)107 (Sun/Moon — Alola dex)130 (U.Sun/U.Moon — Alola dex)073 (Let's Go Pikachu/Let's Go Eevee)137 (Brilliant Diamond/Shining Pearl)171 (Legends: Arceus)041 (The Isle of Armor),2 Special Defense,60,"7.8% with PokéBall, full HP",50,normal,180,Slow,Water 3,50,50,20,"4,884–5,140 steps",80,270,364,70,130,262,65,121,251,80,148,284,120,220,372,100,184,328,Tentacruel,https://img.pokemondb.net/artwork/tentacruel.jpg,
73,074,Rock Ground,Rock,0.4,1.04,20.0,44.1,1. Rock Head2. SturdySand Veil (hidden ability),074 (Yellow/Red/Blue)034 (Gold/Silver/Crystal)057 (Ruby/Sapphire/Emerald)074 (FireRed/LeafGreen)031 (Diamond/Pearl)031 (Platinum)034 (HeartGold/SoulSilver)009 (X/Y — Mountain Kalos)058 (Omega Ruby/Alpha Sapphire)229 (Sun/Moon — Alola dex)298 (U.Sun/U.Moon — Alola dex)074 (Let's Go Pikachu/Let's Go Eevee)031 (Brilliant Diamond/Shining Pearl)046 (Legends: Arceus),1 Defense,255,"33.3% with PokéBall, full HP",50,normal,60,Medium Slow,Mineral,50,50,15,"3,599–3,855 steps",40,190,284,80,148,284,100,184,328,30,58,174,30,58,174,20,40,152,Geodude,https://img.pokemondb.net/artwork/geodude.jpg,
74,075,Rock Ground,Rock,1.0,3.03,105.0,231.5,1. Rock Head2. SturdySand Veil (hidden ability),075 (Yellow/Red/Blue)035 (Gold/Silver/Crystal)058 (Ruby/Sapphire/Emerald)075 (FireRed/LeafGreen)032 (Diamond/Pearl)032 (Platinum)035 (HeartGold/SoulSilver)010 (X/Y — Mountain Kalos)059 (Omega Ruby/Alpha Sapphire)230 (Sun/Moon — Alola dex)299 (U.Sun/U.Moon — Alola dex)075 (Let's Go Pikachu/Let's Go Eevee)032 (Brilliant Diamond/Shining Pearl)047 (Legends: Arceus),2 Defense,120,"15.7% with PokéBall, full HP",50,normal,137,Medium Slow,Mineral,50,50,15,"3,599–3,855 steps",55,220,314,95,175,317,115,211,361,45,85,207,45,85,207,35,67,185,Graveler,https://img.pokemondb.net/artwork/graveler.jpg,
75,076,Rock Ground,Megaton,1.4,4.07,300.0,661.4,1. Rock Head2. SturdySand Veil (hidden ability),076 (Yellow/Red/Blue)036 (Gold/Silver/Crystal)059 (Ruby/Sapphire/Emerald)076 (FireRed/LeafGreen)033 (Diamond/Pearl)033 (Platinum)036 (HeartGold/SoulSilver)011 (X/Y — Mountain Kalos)060 (Omega Ruby/Alpha Sapphire)231 (Sun/Moon — Alola dex)300 (U.Sun/U.Moon — Alola dex)076 (Let's Go Pikachu/Let's Go Eevee)033 (Brilliant Diamond/Shining Pearl)048 (Legends: Arceus),3 Defense,45,"5.9% with PokéBall, full HP",50,normal,223,Medium Slow,Mineral,50,50,15,"3,599–3,855 steps",80,270,364,120,220,372,130,238,394,55,103,229,65,121,251,45,85,207,Golem,https://img.pokemondb.net/artwork/golem.jpg,
76,077,Fire,Fire Horse,1.0,3.03,30.0,66.1,1. Run Away2. Flash FireFlame Body (hidden ability),077 (Red/Blue/Yellow)201 (Gold/Silver/Crystal)077 (FireRed/LeafGreen)090 (Diamond/Pearl)090 (Platinum)206 (HeartGold/SoulSilver)077 (Let's Go Pikachu/Let's Go Eevee)333 (Sword/Shield)090 (Brilliant Diamond/Shining Pearl)023 (Legends: Arceus)105 (The Crown Tundra),1 Speed,190,"24.8% with PokéBall, full HP",50,normal,82,Medium Fast,Field,50,50,20,"4,884–5,140 steps",50,210,304,85,157,295,55,103,229,65,121,251,65,121,251,90,166,306,Ponyta,https://img.pokemondb.net/artwork/ponyta.jpg,
